序号,书籍封面,书名,推荐,出版时间,出版社,五星评价人数,现价,原价,折扣
23,http://img3m6.ddimg.cn/51/5/28517496-1_l_2.jpg,人工智能：重塑个人、商业与社会,100%推荐,2020-01-01,五星评分：,993,&yen;61.40,&yen;89.00,6.9折
24,http://img3m8.ddimg.cn/54/11/28503738-1_l_6.jpg,林清玄50年散文精选（全5册）,100%推荐,2020-02-01,五星评分：,991,&yen;283.80,&yen;290.00,9.8折
25,http://img3m3.ddimg.cn/78/9/28499703-1_l_6.jpg,林清玄：为自己开一朵花（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,991,&yen;58.00,&yen;58.00,10.0折
26,http://img3m4.ddimg.cn/79/10/28499704-1_l_8.jpg,林清玄：把烦恼写在沙滩上（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,990,&yen;58.00,&yen;58.00,10.0折
27,http://img3m0.ddimg.cn/75/6/28499700-1_l_9.jpg,林清玄：心是一切温柔的起点（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,988,&yen;58.00,&yen;58.00,10.0折
28,http://img3m1.ddimg.cn/76/7/28499701-1_l_6.jpg,林清玄：一心一境过一生（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,981,&yen;58.00,&yen;58.00,10.0折
29,http://img3m2.ddimg.cn/77/8/28499702-1_l_6.jpg,林清玄：守住一颗宁静的心（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,966,&yen;58.00,&yen;58.00,10.0折
30,http://img3m1.ddimg.cn/26/33/28507571-1_l_6.jpg,森林报（自然与文学融合的经典，关于大自然变化的百科全书。429种动植物的生命故事，285幅原版插图全彩升级绘制。）【果麦经典】,100%推荐,2020-01-01,五星评分：,1000,&yen;103.80,&yen;118.00,8.8折
31,http://img3m4.ddimg.cn/82/11/28488124-1_l_3.jpg,呼兰河传,100%推荐,2020-01-01,五星评分：,5753,&yen;31.00,&yen;39.80,7.8折
32,http://img3m7.ddimg.cn/2/0/23966417-1_l_12.jpg,答案之书（精装）(我的人生解答书),99.6%推荐,2016-06-01,五星评分：,6592,&yen;33.10,&yen;38.00,8.7折
33,http://img3m8.ddimg.cn/3/21/27928398-1_l_3.jpg,人人都能学会的刷屏文案写作技巧,100%推荐,2019-09-26,五星评分：,4590,&yen;49.00,&yen;49.00,10.0折
34,http://img3m2.ddimg.cn/24/16/25301652-1_l_3.jpg,最佳命中率,100%推荐,2018-08-01,五星评分：,11454,&yen;43.40,&yen;49.80,8.7折
35,http://img3m8.ddimg.cn/26/24/26490248-1_l_15.jpg,云深知景年,100%推荐,2019-02-01,五星评分：,15198,&yen;33.10,&yen;38.00,8.7折
36,http://img3m9.ddimg.cn/44/6/28475909-1_l_3.jpg,玩就对了,100%推荐,2020-01-01,五星评分：,7793,&yen;31.80,&yen;39.80,8.0折
37,http://img3m3.ddimg.cn/80/5/27948473-1_l_3.jpg,西方美学史（全二册）,100%推荐,2019-11-01,五星评分：,8663,&yen;30.40,&yen;78.00,3.9折
38,http://img3m1.ddimg.cn/66/16/28501671-1_l_5.jpg,谁的小眼睛还没看影帝（全2册）,100%推荐,2020-02-01,五星评分：,1037,&yen;34.80,&yen;58.00,6.0折
39,http://img3m1.ddimg.cn/30/19/27857541-1_l_3.jpg,21天精通水彩,100%推荐,2019-05-01,五星评分：,1655,&yen;43.40,&yen;49.80,8.7折
40,http://img3m6.ddimg.cn/0/11/27926316-1_l_3.jpg,微表情密码,100%推荐,2019-09-01,五星评分：,15797,&yen;39.80,&yen;39.80,10.0折
41,http://img3m8.ddimg.cn/90/28/25197768-1_l_8.jpg,无可替代的你,99.9%推荐,2018-01-01,五星评分：,10695,&yen;43.40,&yen;49.80,8.7折
42,http://img3m9.ddimg.cn/26/19/28510739-1_l_3.jpg,你好，小读者（解答小读者关于成长、学习、友谊的共同困惑，十周年插图纪念版，独家收录秦文君数篇新作）,100%推荐,2020-01-01,五星评分：,998,&yen;37.80,&yen;39.80,9.5折
43,http://img3m0.ddimg.cn/87/10/25303200-1_l_1.jpg,藏在回忆里的风景（全二册）,100%推荐,2018-08-01,五星评分：,10576,&yen;43.40,&yen;49.80,8.7折
44,http://img3m2.ddimg.cn/0/27/28473192-1_l_3.jpg,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,100%推荐,2019-11-01,五星评分：,1814,&yen;59.00,&yen;59.00,10.0折
45,http://img3m6.ddimg.cn/23/14/28502816-1_l_1.jpg,好一个格仁（“阳光姐姐”伍美珍倾情推荐；中华民族传统美德新时代少年故事；18张跨页插图，全彩页。）,100%推荐,2019-12-01,五星评分：,999,&yen;64.60,&yen;68.00,9.5折
46,http://img3m4.ddimg.cn/84/19/28497234-1_l_8.jpg,美女都是狠角色（2019全新升级版，真正的“狠角色”，是那些内心笃定的女子。）,100%推荐,2019-12-01,五星评分：,893,&yen;39.00,&yen;39.80,9.8折
47,http://img3m8.ddimg.cn/92/8/28502588-1_l_9.jpg,小学生必背古诗文129篇 （北师大博士生导师、小学语文特级教师主编 ）,100%推荐,2019-06-01,五星评分：,811,&yen;41.60,&yen;46.80,8.9折
48,http://img3m5.ddimg.cn/64/16/25110325-1_l_3.jpg,守护故事的人(一部与《杀死一只知更鸟》相同深度和力量的作品),100%推荐,2017-08-01,五星评分：,20112,&yen;38.40,&yen;48.00,8.0折
49,http://img3m5.ddimg.cn/89/5/28502585-1_l_3.jpg,初中生必背古诗文132篇 (北师大博士生导师，中学语文特级教师主编),100%推荐,2019-05-01,五星评分：,720,&yen;38.90,&yen;43.80,8.9折
50,http://img3m7.ddimg.cn/24/15/28502817-1_l_6.jpg,三个火枪手（法国法语联盟官方推荐，大仲马逝世150周年彩插纪念版，首个无删节法文直译本）,100%推荐,2019-12-01,五星评分：,1041,&yen;67.60,&yen;98.00,6.9折
51,http://img3m5.ddimg.cn/22/13/28502815-1_l_3.jpg,女生徒（“在这泥沼般的人世间，好想美丽地活下去。”太宰治对女性、对自己所做的真挚告白。）【果麦经典】,100%推荐,2019-12-01,五星评分：,1058,&yen;27.40,&yen;39.80,6.9折
52,http://img3m5.ddimg.cn/5/28/28515965-1_l_5.jpg,在路上（高晓松、万晓利独家推荐版本！重新定义美国文学的经典巨著，启迪一代人的精神《圣经》）,100%推荐,2020-02-01,五星评分：,600,&yen;33.80,&yen;49.00,6.9折
53,http://img3m8.ddimg.cn/23/30/28507568-1_l_9.jpg,金色玩具店（引爆法国文坛的马克?特威迪克新作，《天使爱美丽》般的叙事画面感，除了带给人欢乐，带有童心的玩具还有更重要的使命！）,100%推荐,2020-01-01,五星评分：,1002,&yen;44.10,&yen;45.00,9.8折
54,http://img3m7.ddimg.cn/70/17/28504447-1_l_3.jpg,在路上（精装纪念版，李现推荐）,100%推荐,2020-01-01,五星评分：,1150,&yen;50.50,&yen;58.00,8.7折
55,http://img3m4.ddimg.cn/21/12/28502814-1_l_3.jpg,神曲：全3册（插图本）（定制插图133幅全新重制，翻译家王维克经典译本，地狱、净界、天堂套装全收录）【果麦经典】,99.8%推荐,2019-12-01,五星评分：,410,&yen;67.60,&yen;98.00,6.9折
56,http://img3m1.ddimg.cn/25/6/28503511-1_l_3.jpg,二年级看图写话分三步（全2册）黄冈作文书小学生看图说话写话训练,100%推荐,2020-01-01,五星评分：,417,&yen;34.30,&yen;38.60,8.9折
57,http://img3m5.ddimg.cn/97/10/28505365-1_l_3.jpg,一年级看图说话写话训练(全2册) 黄冈小学生作文书,100%推荐,2020-01-01,五星评分：,393,&yen;34.30,&yen;38.60,8.9折
58,http://img3m7.ddimg.cn/66/36/28514937-1_l_4.jpg,狼殇（《狼图腾》作者姜戎倾情推荐）,99.5%推荐,2020-02-03,五星评分：,349,&yen;35.28,&yen;49.00,7.2折
59,http://img3m5.ddimg.cn/56/4/23761145-1_l_6.jpg,人间失格（日本小说家太宰治的自传体小说，李现推荐）,100%推荐,2015-08-01,五星评分：,18271,&yen;19.50,&yen;25.00,7.8折
60,http://img3m0.ddimg.cn/7/27/25137790-1_l_4.jpg,活着（2017年新版）,100%推荐,2012-08-01,五星评分：,42409,&yen;28.00,&yen;28.00,10.0折
61,http://img3m9.ddimg.cn/24/31/28507569-1_l_3.jpg,山海经（鲁迅心爱的宝书。完整收录《山海经图》五卷，随文注音，翻开书就能读！）【果麦经典】,100%推荐,2020-01-01,五星评分：,347,&yen;46.90,&yen;68.00,6.9折
62,http://img3m1.ddimg.cn/76/1/28512571-1_l_4.jpg,少年的你（周冬雨、易烊千玺主演电影拍摄过程全记录，主演和主创们亲自执笔创作，首谈对电影的感受。心存念想，不说再见。）,99%推荐,2020-01-01,五星评分：,383,&yen;168.00,&yen;168.00,10.0折
63,http://img3m7.ddimg.cn/62/3/28502657-1_l_1.jpg,杨红樱 淘气包马小跳1:贪玩老爸 (畅销6000万册全彩升级版；儿童文学原创经典，元气满满中国少年，每个孩子都在不断成长蜕变。）,100%推荐,2019-12-01,五星评分：,410,&yen;26.60,&yen;28.00,9.5折
64,http://img3m3.ddimg.cn/16/9/28503403-1_l_3.jpg,罪与罚（只有《罪与罚》写透了，人人都知道却不敢说的人性阴暗面！全新精装珍藏版！）（读客经典文库）,100%推荐,2020-01-01,五星评分：,319,&yen;78.30,&yen;79.90,9.8折
65,http://img3m8.ddimg.cn/63/4/28502658-1_l_3.jpg,杨红樱 淘气包马小跳2:轰隆隆老师（畅销6000万册全彩升级版；儿童文学原创经典，元气满满中国少年，每个孩子都在不断成长蜕变。）,100%推荐,2019-12-01,五星评分：,399,&yen;26.60,&yen;28.00,9.5折
66,http://img3m1.ddimg.cn/31/4/20039611-1_l_9.jpg,小熊和最好的爸爸（全7册）,99.7%推荐,2007-11-01,五星评分：,11212,&yen;34.70,&yen;35.00,9.9折
67,http://img3m5.ddimg.cn/51/34/26921715-1_l_2.jpg,人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力推荐）,100%推荐,2019-04-16,五星评分：,16472,&yen;55.00,&yen;55.00,10.0折
68,http://img3m9.ddimg.cn/77/23/25295369-1_l_14.jpg,云边有个小卖部,100%推荐,2018-07-01,五星评分：,14027,&yen;41.10,&yen;42.00,9.8折
69,http://img3m4.ddimg.cn/32/35/23579654-1_l_3.jpg,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,99.8%推荐,2010-11-01,五星评分：,17776,&yen;85.00,&yen;93.00,9.1折
70,http://img3m6.ddimg.cn/36/34/28490256-1_l_3.jpg,盗墓笔记十年,99.9%推荐,2019-12-01,五星评分：,1606,&yen;43.10,&yen;46.00,9.4折
71,http://img3m2.ddimg.cn/41/25/25090502-1_l_5.jpg,平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下册自主阅读推荐）,100%推荐,2017-06-01,五星评分：,17206,&yen;74.50,&yen;108.00,6.9折
72,http://img3m0.ddimg.cn/79/25/27907090-1_l_6.jpg,丁香医生健康日历2020  丁香医生温馨提示：出门带口罩,99.9%推荐,2019-08-12,五星评分：,1283,&yen;62.72,&yen;98.00,6.4折
73,http://img3m9.ddimg.cn/25/29/25246609-1_l_1.jpg,乌合之众 : 大众心理研究,99.9%推荐,2018-04-06,五星评分：,7462,&yen;20.70,&yen;26.00,8.0折
74,http://img3m7.ddimg.cn/70/12/25187947-1_l_9.jpg,傅雷家书 部编本语文教材八年级下册指定阅读,100%推荐,2017-09-01,五星评分：,3373,&yen;29.10,&yen;35.00,8.3折
75,http://img3m6.ddimg.cn/83/20/25138856-1_l_2.jpg,马尔克斯：百年孤独（50周年纪念版）,100%推荐,2017-08-01,五星评分：,18361,&yen;38.00,&yen;55.00,6.9折
76,http://img3m5.ddimg.cn/98/24/27871865-1_l_21.jpg,笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生必背古诗词75首+80首 适合小学生的国学经典儿童诗歌 当当首发独家,100%推荐,2019-05-01,五星评分：,3043,&yen;116.20,&yen;140.00,8.3折
77,http://img3m6.ddimg.cn/39/17/27931206-1_l_544.jpg,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）,99.9%推荐,2019-09-01,五星评分：,3791,&yen;48.90,&yen;49.90,9.8折
78,http://img3m7.ddimg.cn/84/30/28507827-1_l_3.jpg,变色龙：契诃夫短篇小说精选（新课标推荐阅读！提高写作能力，就读契诃夫。一句话就是一个故事。）（读客经典文库）,100%推荐,2020-01-01,五星评分：,210,&yen;16.50,&yen;32.90,5.0折
79,http://img3m7.ddimg.cn/77/15/24040247-1_l_5.jpg,细菌世界历险记 又名:灰尘的旅行 统编小学语文教材四年级下册快乐读书吧推荐必读书目 菌儿自传 高士其科普童话 150000多名读者热评！,100%推荐,2016-09-01,五星评分：,3385,&yen;19.40,&yen;22.80,8.5折
80,http://img3m1.ddimg.cn/3/6/27872661-1_l_13.jpg,皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命。感动千万读者的国民读本）,100%推荐,2019-05-01,五星评分：,1613,&yen;48.80,&yen;49.80,9.8折
81,http://img3m4.ddimg.cn/59/1/28506614-1_l_3.jpg,无辜之血（阿加莎去世后，只有P. D. 詹姆斯配得上推理女王的桂冠！深埋十年的身世之谜，一场关于原生家庭的漫长梦魇！）,99.6%推荐,2020-01-02,五星评分：,218,&yen;37.40,&yen;52.00,7.2折
82,http://img3m6.ddimg.cn/0/17/28499526-1_l_3.jpg,猫的桌子（那一场看似短暂的独自远行，漫长到改变了我的整个人生。“金布克奖”得主翁达杰经典力作。）,99.6%推荐,2019-12-31,五星评分：,214,&yen;66.60,&yen;68.00,9.8折
83,http://img3m3.ddimg.cn/67/10/28499593-1_l_3.jpg,海明威与骗子工厂（根据1980年FBI解禁档案改编，深度还原海明威的绝密间谍经历！）,100%推荐,2020-01-02,五星评分：,210,&yen;97.90,&yen;99.90,9.8折
84,http://img3m5.ddimg.cn/26/14/25238195-1_l_3.jpg,追风筝的人（2018年新版）,100%推荐,2006-05-01,五星评分：,12915,&yen;35.30,&yen;36.00,9.8折
85,http://img3m8.ddimg.cn/25/18/28510738-1_l_3.jpg,日本的童话（影响宫崎骏、安房直子的童话故事，畅销1000万册《窗边的小豆豆》译者赵玉皎倾心翻译。）【果麦经典】,100%推荐,2020-01-01,五星评分：,203,&yen;35.80,&yen;52.00,6.9折
86,http://img3m8.ddimg.cn/71/21/28516328-1_l_5.jpg,大话西方艺术史（独家寄语签章版）（句句有梗的极简艺术史！头号艺术自媒体意外艺术，八年积累诚意之作！轻松入门，提高审美）,100%推荐,2020-02-14,五星评分：,200,&yen;58.50,&yen;78.00,7.5折
87,http://img3m8.ddimg.cn/70/21/28509298-1_l_3.jpg,极简之道:日本平面设计美学（去掉一切无效信息，这就是日式极简的奥秘！直击本质，毫无废话，一本书说透日式极简七十年！）,100%推荐,2020-02-03,五星评分：,206,&yen;66.00,&yen;88.00,7.5折
88,http://img3m1.ddimg.cn/91/28/28505161-1_l_3.jpg,亲爱的伯德太太（你不用一直假装坚强，你可以留一个缝隙让别人去爱你。《星期日泰晤士报》十大畅销书！）,99.5%推荐,2020-01-25,五星评分：,213,&yen;48.90,&yen;49.90,9.8折
89,http://img3m6.ddimg.cn/14/3/28505876-1_l_6.jpg,我要去故宫系列（套装全20册）,97.6%推荐,2020-02-01,五星评分：,192,&yen;528.00,&yen;536.00,9.9折
90,http://img3m0.ddimg.cn/61/3/23444350-1_l_4.jpg,神奇校车・桥梁书版（全20册）,99.9%推荐,2014-04-01,五星评分：,13622,&yen;148.50,&yen;150.00,9.9折
91,http://img3m1.ddimg.cn/66/15/24175371-1_l_108.jpg,作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！2017豆瓣阅读桂冠！上海国际学校指定必读译本）,100%推荐,2017-01-10,五星评分：,10864,&yen;35.80,&yen;39.80,9.0折
92,http://img3m8.ddimg.cn/82/19/25252408-1_l_19.jpg,神奇校车・图画书版（全12册，新增科学博览会1册）,100%推荐,2018-05-10,五星评分：,11865,&yen;176.20,&yen;198.00,8.9折
93,http://img3m4.ddimg.cn/87/2/26509614-1_l_2.jpg,十万个为什么 统编语文教科书四年级（下）指定阅读（中小学新课标必读名著）,100%推荐,2018-10-01,五星评分：,417,&yen;19.40,&yen;22.80,8.5折
94,http://img3m5.ddimg.cn/24/31/1496535405-1_l_22.jpg,中级会计职称教材2020 全套12本 中级会计师教材2020官方财政部版 经济法财务管理中级会计实务 会计中级职称教材+历年真题及押题模拟试卷习题库 可搭配购买东奥中级会计2019轻松过关一应试指南,99.2%推荐,2020-04-01,五星评分：,223,&yen;138.00,&yen;288.01,4.8折
95,http://img3m2.ddimg.cn/96/32/25285092-1_l_4.jpg,天才在左 疯子在右(2018全新完整版),100%推荐,2018-05-01,五星评分：,6411,&yen;46.60,&yen;49.80,9.4折
96,http://img3m3.ddimg.cn/40/6/27854383-1_l_91.jpg,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,100%推荐,2019-04-30,五星评分：,1387,&yen;112.64,&yen;128.00,8.8折
97,http://img3m1.ddimg.cn/80/1/23778791-1_l_4.jpg,少年读史记（套装全5册）,100%推荐,2015-09-01,五星评分：,12279,&yen;95.00,&yen;100.00,9.5折
98,http://img3m3.ddimg.cn/20/24/25257593-1_l_8.jpg,乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 33万多名读者热评！,100%推荐,2015-04-01,五星评分：,4055,&yen;14.10,&yen;18.80,7.5折
99,http://img3m6.ddimg.cn/76/35/23427436-1_l_4.jpg,写给儿童的中国历史（全14册）,99.9%推荐,2014-04-01,五星评分：,9810,&yen;301.80,&yen;355.00,8.5折
100,http://img3m4.ddimg.cn/81/18/23453874-1_l_4.jpg,福尔摩斯探案集（中小学新课标必读名著）130000多名读者热评！,100%推荐,2014-03-01,五星评分：,4000,&yen;13.90,&yen;17.80,7.8折
101,http://img3m7.ddimg.cn/57/36/23946177-1_l_20.jpg,我们的身体,99.9%推荐,2012-06-01,五星评分：,11080,&yen;128.70,&yen;155.00,8.3折
102,http://img3m3.ddimg.cn/77/2/28501583-1_l_3.jpg,我看世间一切有情：梁实秋的自在人生（附赠精美书签）,100%推荐,2020-01-01,五星评分：,196,&yen;42.70,&yen;49.00,8.7折
103,http://img3m0.ddimg.cn/17/4/27864260-1_l_5.jpg,2020新高考数学真题全刷：基础2000题,99.9%推荐,2019-05-01,五星评分：,675,&yen;79.00,&yen;79.00,10.0折
104,http://img3m4.ddimg.cn/53/23/22800644-1_l_7.jpg,鲁滨孙漂流记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 又译：鲁滨逊漂流记 160000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,2583,&yen;12.60,&yen;14.80,8.5折
105,http://img3m6.ddimg.cn/15/33/25298376-1_l_19.jpg,小王子（袁泉、王一博推荐，畅销350万册，1069181条当当读者五星好评。作者基金会官方认证简体中文版）【果麦经典】,100%推荐,2018-06-03,五星评分：,2191,&yen;35.00,&yen;39.80,8.8折
106,http://img3m5.ddimg.cn/31/23/25308985-1_l_8.jpg,丰子恺万般滋味，都是生活,100%推荐,2018-09-01,五星评分：,8657,&yen;27.30,&yen;42.00,6.5折
107,http://img3m0.ddimg.cn/64/6/23990140-1_l_10.jpg,正面管教(修订版),100%推荐,2016-07-01,五星评分：,10852,&yen;34.70,&yen;38.00,9.1折
108,http://img3m2.ddimg.cn/17/16/27926432-1_l_3.jpg,轻狂（既要今朝醉，也要万年长。畅销书作家巫哲全新燃情力作。《撒野》热血兄弟篇。轻狂一场，无悔青春。随书附赠人物大海报+卡贴+卡立+书签）,100%推荐,2019-09-01,五星评分：,765,&yen;43.40,&yen;49.80,8.7折
109,http://img3m4.ddimg.cn/91/14/26914924-1_l_6.jpg,12.5陆续发货 肖秀荣2020考研政治终极预测4套卷,99.9%推荐,2019-12-01,五星评分：,867,&yen;19.30,&yen;32.00,6.0折
110,http://img3m2.ddimg.cn/65/6/27931232-1_l_6.jpg,半小时漫画中国史1-4+世界史（共5册）（独家签章版）（看半小时漫画，通五千年历史！漫画式科普开创者二混子新作！）,100%推荐,2019-09-26,五星评分：,719,&yen;209.50,&yen;209.50,10.0折
111,http://img3m2.ddimg.cn/62/32/25119332-1_l_9.jpg,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,100%推荐,2017-08-09,五星评分：,19772,&yen;41.10,&yen;59.60,6.9折
112,http://img3m6.ddimg.cn/12/7/23379456-1_l_5.jpg,尼尔斯骑鹅旅行记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 85000多名读者热评！,100%推荐,2013-12-04,五星评分：,1313,&yen;14.30,&yen;16.80,8.5折
113,http://img3m3.ddimg.cn/38/27/25102973-1_l_4.jpg,明朝那些事儿全集 增补版（新版全套9册）,100%推荐,2017-05-01,五星评分：,3443,&yen;278.20,&yen;297.00,9.4折
114,http://img3m1.ddimg.cn/1/0/28494181-1_l_6.jpg,女人，别让自己死于一事无成,100%推荐,2020-01-22,五星评分：,151,&yen;28.60,&yen;39.80,7.2折
115,http://img3m4.ddimg.cn/54/11/25580664-1_l_3.jpg,中国传统节日故事 小学语文课外读物 （收录专家解读节日和习俗，包含春节、元宵节、清明节、等所有重大节日）,100%推荐,2018-10-01,五星评分：,2105,&yen;18.70,&yen;22.00,8.5折
116,http://img3m1.ddimg.cn/79/2/25167661-1_l_3.jpg,红岩（七年级下册必读）,100%推荐,2017-09-01,五星评分：,8556,&yen;21.50,&yen;36.00,6.0折
117,http://img3m0.ddimg.cn/0/1/23483790-1_l_3.jpg,中国古代寓言故事 统编小学语文教材三年级下册快乐读书吧推荐必读书目 90000多名读者热评！,100%推荐,2013-01-01,五星评分：,1823,&yen;11.70,&yen;13.80,8.5折
118,http://img3m7.ddimg.cn/56/26/22800647-1_l_17.jpg,汤姆索亚历险记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 280000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,2033,&yen;12.60,&yen;14.80,8.5折
119,http://img3m9.ddimg.cn/38/10/28486199-1_l_2.jpg,九音真经之小说演播秘籍,100%推荐,2019-11-01,五星评分：,209,&yen;59.20,&yen;68.00,8.7折
120,http://img3m0.ddimg.cn/88/12/28504960-1_l_2.jpg,穿过地平线 又名:看看我们的地球 统编小学语文教材四年级下册快乐读书吧推荐必读书目 （中小学课外阅读必读名著）,100%推荐,2019-12-01,五星评分：,196,&yen;18.60,&yen;24.80,7.5折
